general_name,count_products,ingred_FPro,ingred_normalization_term
soybean paste,13,0.80131112,3.053583337
onion juice,13,0.801047831,1.221608947
gluten,13,0.795798292,2.409163059
orange pulp,13,0.795550868,1.696500722
beer,13,0.788530972,3.130555556
grana padano cheese,13,0.783255504,2.313095238
chickpea miso,13,0.781029123,3.937776506
carrot concentrate,13,0.77676754,2.079505582
enzyme cream,13,0.758475024,0.466872742
plantain,13,0.751537321,10.86666667
fat cheddar cheese,13,0.751040036,4.926190476
grape seed oil,13,0.750594009,2.837734488
chocolate flake,13,0.745460879,2.783823529
berry,13,0.742763196,5.367099567
mushroom juice concentrate,13,0.739024409,0.811566517
celery salt,13,0.723917707,1.500270563
koji culture,13,0.71605244,1.593686869
semisoft,13,0.710041416,3.43015873
romano cheese from cow milk,13,0.699628138,2.048063048
chicory root inulin,13,0.695405946,2.793290043
cinnamon powder,13,0.694331936,1.840065
watermelon juice,13,0.691372809,5.902380952
breading in canola oil,13,0.677627059,1.953253119
chicory,13,0.674303071,4
grain white rice,13,0.653605549,10.33333333
cashew nut,13,0.648810693,4.438636364
nan,13,0.642709158,13
portabella mushroom,13,0.555446541,4.25952381
pink salmon,13,0.365944231,13
wheat meal,12,0.948680269,6.258823529
polysorbate 65,12,0.940217801,0.780648926
cake,12,0.936366338,10.33333333
gluten flour,12,0.932835602,9.861111111
grain corn flour,12,0.930939226,6.18452381
ice cream,12,0.918456125,10.83333333
concentrate,12,0.916643862,1.447315593
rice bran with germ,12,0.915087288,2.341666667
rainbow sprinkle,12,0.908955597,2.302020202
buttery spread,12,0.908812473,2.767857143
soy flake,12,0.906189614,7.666666667
teff,12,0.89954793,1.141385909
milk chocolate coating,12,0.851510368,5.916666667
ferric pyrophosphate,12,0.821009205,0.597718742
trehalose,12,0.807882647,1.01159437
caesar dressing,12,0.804527557,4.2
with wheat flour,12,0.80431962,2.354208754
calcium,12,0.797909851,1.828787879
sweetener,12,0.797656179,2.951190476
starbuck espresso coffee,12,0.793354938,6
banana powder,12,0.788019043,1.633405483
allulose,12,0.783707148,6.805555556
meatball,12,0.782177702,4.866666667
agar agar,12,0.77464937,0.863471673
sauteed onion,12,0.773520507,2.163232601
pure water,12,0.762344732,5.981684982
garlic oil,12,0.76024447,1.255978261
currant,12,0.756246439,2.784722222
durum wheat semolina flour,12,0.755922679,3.581980519
tamarind paste,12,0.747626849,1.403817016
turnip,12,0.73845324,1.318900544
mango puree concentrate,12,0.732827227,3.144047619
tarragon,12,0.727256794,1.113591452
lime juice solid,12,0.721234333,0.981712215
multigrain,12,0.720774745,3.926190476
taurine,12,0.706469066,3.336904762
bamboo shoot,12,0.701309345,3.643290043
yellow,12,0.694474147,3.245363182
coconut water concentrate,12,0.681588728,3.833333333
calcium ascorbate,12,0.670830045,4.505555556
animal enzyme,12,0.654671179,1.813095238
porcini mushroom,12,0.648532171,3.542857143
goat cheese,12,0.621960785,6.550490196
coconut meat,12,0.620831366,8
durum semolina flour,12,0.604656734,8.25
barley grass,12,0.602715208,1.393913494
bone skin chicken breast,12,0.601317586,9.5
ascorbic acid vitamin c,12,0.601030783,2.126190476
oil powder,12,0.592791667,3.2
trade,12,0.588904089,2.245238095
pear puree,12,0.563639604,4.438095238
skyr,12,0.55665679,12
koia protein blend,12,0.545760943,5.5
skipjack tuna,12,0.524510494,12
gluconic acid,12,0.521235352,1.431550802
baobab,12,0.519124388,1.31552795
fat blend,12,0.512680555,12
grain amaranth,12,0.500532494,1.580357143
yellow squash,12,0.47828832,4.165909091
arin orange,12,0.476064083,5.41025641
cod,12,0.453977191,10.33333333
kale juice,12,0.446609837,2.713492063
red kidney bean,12,0.432626312,8.178113553
pyrophosphate,12,0.340641896,2.291666667
kiwi,12,0.230598167,9.65
rice crisp,11,0.963134891,3.226190476
confectionery coating,11,0.962245202,7.857142857
pizza topping pork,11,0.943100431,2.15
vitamin b₁₂,11,0.942375149,0.5860282
by tbhq,11,0.935602273,3.666666667
tetrasodium diphosphate,11,0.934491683,0.971378621
grain buckwheat flour,11,0.909097231,0.498155468
extract turmeric,11,0.906772588,0.524719242
bread,11,0.894721561,10
all flour,11,0.893170365,5.867816092
collagen casing,11,0.893098337,0.948550966
sodium sulfite,11,0.887912027,0.896782384
tomato basil sauce,11,0.881191489,3.916666667
rbst ricotta cheese,11,0.875182453,3.05
banana flavor,11,0.873525573,1.416774892
plum puree,11,0.869711664,1.485353535
cider,11,0.865310551,3.236111111
crisp brown rice,11,0.857898045,3.438095238
grain alcohol,11,0.856446306,1.207919755
vegenaise,11,0.852778474,5.033333333
vermicelli,11,0.844706976,3.337301587
liquid egg,11,0.843447216,1.878571429
ranch seasoning,11,0.837212606,3.2
parmesan cheese flavor,11,0.833077767,0.968763486
vanilla bean speck,11,0.827419376,0.926049849
garlic flavor,11,0.821720264,1.049668387
enzyme egg yolk,11,0.821246966,1.682142857
leavener,11,0.82056683,1.086580087
thai basil,11,0.820385125,1.051776878
sour cherry,11,0.816644072,3.483333333
onion seasoning,11,0.810595167,3.116666667
cocoa paste,11,0.809222225,2.38898226
raspberry powder,11,0.807302583,1.291208791
chicken skin,11,0.806539448,2.400595238
cauliflower powder,11,0.800539527,3.017710944
fruit blend,11,0.795742857,6.833333333
isomalt,11,0.79355308,7
citric,11,0.792170884,3.16216513
chipotle chili pepper,11,0.787216147,0.996368528
vanilla bean seed,11,0.782478813,1.346652864
tortilla chip,11,0.779404633,2.090736558
brine,11,0.778376265,4.811111111
hop,11,0.773067194,1.262227539
chocolate extract,11,0.771034398,1.188095238
tamarind concentrate,11,0.768757661,0.854542125
carob powder,11,0.762416411,1.488690476
white chicken,11,0.761301189,6.2
sodium soy sauce,11,0.759352691,3.922222222
asiago cheese blend with flavor,11,0.757323173,1.326874003
raspberry flavor,11,0.752033796,1.289390142
watermelon juice concentrate,11,0.739974571,1.159847914
tomato in puree,11,0.738170794,4.15
coconut syrup,11,0.733370116,2.952380952
lactobacillus plantarum 299v,11,0.730722064,1.186230436
chicory fiber,11,0.728509009,3.7
angus beef,11,0.724995144,9.533333333
choline chloride,11,0.713513985,1.122628249
frozen dessert,11,0.712828283,11
red pepper powder,11,0.70203198,2.204917305
bourbon vanilla bean,11,0.690713261,1.491483516
mustard oil,11,0.675725568,0.974747883
maple water,11,0.648174844,7.7
mineral blend tm,11,0.645079166,1.18975469
orgain vitamin,11,0.644652217,1.338888889
quinoa seed,11,0.642531646,2.853409091
tea,11,0.602434894,4.944444444
wheatgrass,11,0.598843971,1.820634921
navy bean flour,11,0.585440945,5.291666667
macadamia milk,11,0.574886111,11
chlorella,11,0.567399001,1.162810186
calcium hydroxide,11,0.530042611,3.45
portobello mushroom,11,0.508187075,4.894444444
green split pea,11,0.505347029,7.2
watermelon,11,0.503346936,6.274493051
tilapia,11,0.421452932,6.398351648
raw,11,0.356567644,4.5
crust grain oat,10,0.985377778,10
palm kernel oil with tbhq for freshness,10,0.981446643,2.526923077
spice oil,10,0.975214347,0.738207626
rice milk,10,0.961150773,2.527631579
ground caraway,10,0.955129602,0.964790765
farina,10,0.949265722,2.227380952
chocolate filling,10,0.946509921,6.222222222
peanut blend peanut oil,10,0.942702315,5
sugar cane syrup,10,0.935873459,1.197691198
blue corn meal,10,0.933442735,0.528538952
rye meal,10,0.929287983,1.66841133
wheat enzyme,10,0.92752839,0.782867541
apple filling,10,0.924064604,7.333333333
ground white corn,10,0.913233333,10
triglyceride,10,0.89871361,0.516328421
cheese sauce mix,10,0.894861694,3.404761905
apple sauce,10,0.894827049,1.876984127
yeast extract powder,10,0.890460896,1.01547619
wheat flour wheat flour,10,0.876836301,6.5
aluminum baking powder,10,0.86931482,1.218055556
pea hull fiber,10,0.868743879,1.966666667
glucono delta-lactone,10,0.86825831,0.808682059
seed,10,0.868109322,3.45
sweet whey,10,0.868019026,1.664141414
caramel sauce,10,0.849353213,2.766666667
durum semolina wheat flour,10,0.846177972,3.583333333
vegan enzyme,10,0.84354981,0.561998133
canola lecithin,10,0.84266385,0.896341567
with fruit juice concentrate,10,0.841877222,5
tbhq freshness,10,0.841687437,1.735014006
pizza sauce,10,0.839226689,3.353846154
saffron,10,0.837156717,1.244125616
black carrot juice concentrate,10,0.825712876,1.408766234
sodium carboxymethylcellulose,10,0.821996678,0.730245008
mango flavor,10,0.821822787,1.858333333
liquid,10,0.819669001,1.337337662
cookie dough,10,0.814505587,2.983333333
tuna extract,10,0.81434751,0.659090909
alliance,10,0.811913466,1.05514516
concentrated juice sweet potato,10,0.809495644,2.816666667
baker yeast extract,10,0.804999783,1.369934641
bbq sauce,10,0.804695938,3.533333333
green olive,10,0.804618755,6.43452381
turkey flavor,10,0.801862626,1.477020202
wheat fiber,10,0.80103313,2.549603175
crouton,10,0.799524086,2.076190476
blue agave nectar,10,0.798231462,4.083333333
ricotta,10,0.79568735,5.916666667
grain steel cut oat,10,0.794914916,7.3
crab flavor,10,0.789696987,0.804166667
cauliflower puree,10,0.789506252,5
apple flake,10,0.789234517,6.1
hummus,10,0.789211529,7.75
rice wine vinegar,10,0.787709864,1.103604729
potassium metabisulfite,10,0.783590767,1.694444444
dressing,10,0.779628705,1.458187135
flavor enhancer,10,0.777965087,0.854900172
romano,10,0.777613471,1.378571429
chili flake,10,0.773928398,1.138858364
cream powder,10,0.767710297,1.265884116
vanilla seed,10,0.766245461,0.803784124
er powder,10,0.765983604,0.844371723
poblano chile,10,0.765223452,1.792857143
pomegranate juice from concentrate,10,0.763059849,7.45
pumpkin puree,10,0.761736111,3.171428571
blueberry powder,10,0.760922094,2.117604618
peach juice concentrate,10,0.760840284,1.5129329
grape leaf,10,0.759438192,2.819047619
beetroot powder,10,0.754121214,1.165656566
cow,10,0.748085838,2.099206349
granule,10,0.744994914,2.958333333
with juice,10,0.742483919,0.764855977
coating,10,0.737481944,4.666666667
ground black pepper,10,0.737473181,1.086756707
corn tortillas,10,0.73413481,3.575
crystal salt,10,0.733070902,2.446125117
kaffir lime peel,10,0.73053322,0.659072226
sweetener blend,10,0.730431323,2.347222222
pumpkin seed kernel,10,0.729778187,2.261111111
cream milk,10,0.724894994,3.190909091
stone ground white corn,10,0.721910819,9.5
chicken meat chicken juice,10,0.719085756,1.029059829
mace,10,0.713891002,0.848235098
pepper puree,10,0.707940972,1.113507326
savory,10,0.705037983,0.945326384
garlic granule,10,0.702748976,1.394135908
red beet,10,0.700937022,1.739044289
in a beef collagen casing,10,0.694768522,0.73835413
tri-calcium phosphate,10,0.692197941,1.495959596
blue agave,10,0.682645901,3.433333333
white grape juice,10,0.677678136,5.166666667
coconut pulp,10,0.670004843,4.333333333
a amount sugar,10,0.657556305,0.747670647
grain brown rice protein,10,0.644171111,4.166666667
chicory root,10,0.640652341,3.283333333
parsnip,10,0.620515936,3.358333333
orgain protein blend tm,10,0.614298914,4.833333333
quillaja extract,10,0.599036286,0.925396825
mozzarella cheese milk,10,0.595684772,4.605263158
kamut wheat,10,0.582441515,1.683261183
fire corn,10,0.571133913,2.637657362
chicken thigh,10,0.569033022,7.083333333
kiwi puree,10,0.5643527,2.1
adzuki bean,10,0.547595649,3.130555556
parsley juice,10,0.511249361,1.337301587
tree nut,10,0.506036174,1.747128343
yukon gold potato,10,0.476394961,6.1
mizuna,10,0.474659436,2.031547619
ferrous lactate,10,0.371082583,3.083333333
hexameta,9,0.943106065,0.425735287
sour dough,9,0.94059335,1.269383394
monosodium phosphate,9,0.940333337,0.460881559
huito,9,0.930799315,0.57521645
humectant,9,0.928317887,1.224603175
bagel halve,9,0.92732716,9
egg substitute,9,0.925536879,1.023412698
crisp,9,0.912603729,3.7
red beet powder,9,0.910257112,0.974687709
beef bone extract,9,0.904030093,1.285714286
calcium pyrophosphate,9,0.898851836,0.792909357
palm fat,9,0.898641279,1.941341991
vanilla icing,9,0.893281438,1.635353535
butter powder,9,0.880541297,1.057947608
wheat crumb,9,0.878280853,1.935714286
blue cheese flavor,9,0.869004191,0.78010878
Deli Counter Sliced Meat,9,0.859713786,9
oyster extractive,9,0.852833238,0.885353535
berry blend,9,0.851347374,1.468849206
vanilla flavor with natural flavor,9,0.847852402,1.592099567
orange zest,9,0.846956255,0.932853023
key lime puree,9,0.833175419,2.392857143
whipping cream,9,0.831878662,4.00952381
potassium sorbate as a preservative,9,0.827924797,1.011335404
jalapeno chili pepper,9,0.825608512,1.814285714
broccoli powder,9,0.825023552,1.033333333
ginseng extract,9,0.824766759,1.410714286
konjac,9,0.824505108,0.795375458
blue agave syrup,9,0.815117495,1.272619048
topping mozzarella cheese,9,0.809608144,1.075980392
concentrated juice apple,9,0.80686127,1.853968254
vegetable juice concentrate for color,9,0.805339397,0.877991453
seasoning sauce,9,0.801212709,1.883333333
white chia seed,9,0.800611111,9
vegetable powder,9,0.794996728,1.266059757
coconut chip,9,0.793818207,2.244444444
kernel rye,9,0.792726273,8
guajillo pepper puree,9,0.790631025,0.693617902
apricot puree,9,0.789940337,1.007148407
snap pea,9,0.788408813,2.117857143
dairy blend,9,0.787722978,2.011904762
lemongrass puree,9,0.782260195,0.984794372
avocado puree,9,0.777475992,4.766666667
kaffir lime leaf,9,0.777445921,0.802392052
apple extract,9,0.775557937,0.6987105
strawberry juice from concentrate,9,0.775556108,1.716666667
lime powder,9,0.773023692,1.125662743
steviol glycoside,9,0.772102099,0.858867521
cashew milk,9,0.770827832,8.5
sauce water,9,0.770733495,2.820075758
cream flavor,9,0.769506797,1.143650794
spring onion,9,0.764529076,1.607575758
thompson raisin,9,0.763655022,3.271428571
chili pepper powder,9,0.757661624,0.81405441
ground cori,9,0.757655959,0.77041847
carob flour,9,0.757178775,1.520634921
mango juice concentrate,9,0.754212342,1.852380952
pomegranate juice,9,0.746217475,6.083333333
ranch dressing,9,0.745978549,3.683333333
malt powder,9,0.742435833,1.470081211
chipotle,9,0.732646056,1.200714286
than silicon dioxide,9,0.732370293,0.683636174
white c,9,0.726936574,4
y coating,9,0.725817003,2.75
faba bean protein,9,0.721778811,2.016666667
l-selenomethionine,9,0.720853714,1.037734488
chile,9,0.720080384,1.688095238
freeze blueberry,9,0.720050275,2.302777778
ester fatty acid,9,0.69603694,0.81729798
salt enzyme,9,0.696005958,1.303095238
turkey breast meat,9,0.694809929,7.833333333
chile powder,9,0.691258656,3.052871148
red leaf,9,0.689229275,1.138860159
garbanzo bean,9,0.679746609,1.596969697
passion fruit,9,0.678301258,2.612301587
pea crisp,9,0.673086029,1.410714286
arrowroot starch,9,0.658839506,3.9
tomato pulp,9,0.63370554,3.95
peppercorn,9,0.626670132,2.148412698
jackfruit,9,0.62207572,9
cocoa extract,9,0.614958187,1.471042846
bifidobacterium,9,0.610345246,1.172727273
penicillium roqueforti,9,0.605797717,1.552777778
ginger root juice,9,0.560326749,3.30952381
blackberry puree,9,0.543026489,2.694444444
tatsoi,9,0.526583232,1.460207337
cantaloupe,9,0.508036679,7.75
iron phosphate,9,0.466569032,1.081667407
lobster,9,0.350707685,7.142857143
green cucumber,9,0.091874794,9
ascorbic acid as dough conditioner,8,0.991726496,1.733333333
coffee fruit extract,8,0.977657084,0.406990962
brownie brittle mix,8,0.977179861,8
algin,8,0.964985464,0.371861472
flour wheat flour,8,0.962207071,5.5
triticale flake,8,0.961102127,0.724466717
ascorbic acid as a dough conditioner,8,0.9605546,1.291666667
vegan sugar,8,0.955753535,3.4375
vanilla pod,8,0.952639216,0.560531136
brown rice meal,8,0.952458638,1.007700633
karaya gum,8,0.946191275,0.310058934
tripoly,8,0.941032707,0.378116239
vitamin b₂,8,0.940928387,0.470495512
vitamin b₁,8,0.937418245,0.58331658
vitamin b₆,8,0.935913716,0.582411067
sour cream seasoning,8,0.9315,2
with soy lecithin,8,0.929985881,0.994439469
oreo cookie piece,8,0.928070354,1.926190476
riboflavin folic acid,8,0.925658794,0.848602275
fructose syrup,8,0.924829261,1.445238095
white mineral oil,8,0.924801852,0.64354067
grain flour,8,0.924076227,3.071428571
oat hull fiber,8,0.922369537,1.172222222
oat syrup solid,8,0.917464837,0.899343712
corn sugar,8,0.917422383,1.041208791
emulsifier soy lecithin,8,0.911719501,1.40952381
soozy flour blend,8,0.901290344,5.95
blueberry puree concentrate,8,0.900572649,0.902777778
soybeancanola oil,8,0.893368056,1.333333333
yeast protein,8,0.890793714,0.642788176
cream buttermilk,8,0.888063817,1.601190476
chocolatey coating,8,0.885320689,2.944444444
white flour,8,0.884404135,6.105263158
egg yolk powder,8,0.882489162,1.026598402
premium blend black teas water,8,0.882113757,8
chili garlic sauce,8,0.881432854,1.525407925
creme fraiche,8,0.875934748,3.533333333
pork with ham,8,0.871645833,8
board collection mozzarella style,8,0.869259259,3.5
vegan,8,0.858728507,5.254761905
premium green tea USing water,8,0.857109789,8
grain barley,8,0.856182633,1.64048174
cream solid,8,0.854904781,1.155555556
rapeseed lecithin,8,0.849487351,0.779327106
baking soda as leavening agent,8,0.847409091,0.855555556
grain barley flour,8,0.845881986,1.140151515
cereal,8,0.845050386,2.951623377
pork casing,8,0.844033179,0.826562327
romano cheese with flavor,8,0.843524541,0.613802864
key lime juice,8,0.843166201,1.58452381
banana chip,8,0.839725074,2.976190476
neufchatel cheese,8,0.838808253,1.585714286
white chocolate coating,8,0.837871021,3.083333333
caramel swirl,8,0.830590512,2.472222222
oatmeal,8,0.828950585,1.302054378
ground flax,8,0.825736346,0.892857143
red chili puree,8,0.824482395,1.829599567
diglyceride with bht,8,0.823353332,0.957936508
monoglyceride with bht,8,0.823353332,0.957936508
in a pork casing,8,0.817492618,0.809325397
food enzyme,8,0.813824786,0.748484848
red chily,8,0.810085603,0.866927034
blue,8,0.809466181,0.669943462
sriracha sauce,8,0.808417763,1.48003663
tangerine juice concentrate,8,0.80603542,1.077380952
bourbon,8,0.805230906,1.68898226
sodium selenate,8,0.804259245,0.243972944
bifidus,8,0.801690236,1.113095238
red jalapeno,8,0.799944725,3.483974359
garlic salt,8,0.797360095,1.063467088
beet extract,8,0.795670622,0.709040959
mirin wine,8,0.792686201,0.743589744
with sea salt,8,0.792546479,0.767261905
rochester sauce,8,0.787828161,0.674044012
hemicellulase,8,0.786450207,0.464831349
blend oil,8,0.780479848,2.833333333
dl-alpha-tocopherol,8,0.77986199,0.589355089
curry leaf,8,0.777582411,0.490641711
chipotle pepper puree,8,0.774320941,0.836580087
soy milk powder,8,0.774229779,0.65597769
carboxymethylcellulose,8,0.76899238,0.683423566
grain popping corn,8,0.768435185,8
plum tomato from italy marzano region,8,0.767150347,8
lime leaf,8,0.767011543,0.585551948
breader,8,0.764413304,1.858333333
pork sausage,8,0.757661365,1.476190476
colby jack cheese,8,0.753739352,5
worcestershire sauce powder,8,0.743975347,0.815656566
black salt,8,0.742712072,0.586017126
represent,8,0.741729327,0.703817016
passion fruit juice concentrate,8,0.738853243,1.667857143
onion flake,8,0.737931266,1.612301587
milk skyr,8,0.737604167,8
beeswax,8,0.737521612,0.854992638
sunflower seed flour,8,0.735513889,2
ground oregano,8,0.734713488,0.645970696
invertase,8,0.729054408,1.171428571
filling ricotta cheese,8,0.727275799,5.75
pimento,8,0.726485185,2.458333333
wheat pastry flour,8,0.720291582,4.795833333
annatto for color,8,0.71413934,0.751345876
guarana seed extract,8,0.712662895,1.417832168
green blend,8,0.711925774,1.806721057
annato,8,0.69823414,1.316558442
bean sprout,8,0.690488069,3.042857143
licorice flavor,8,0.687458333,0.8
aloe vera juice,8,0.685737395,4.25
vegetable juice blend,8,0.684666334,3.416666667
cayenne powder,8,0.682273384,0.804838217
pure olive oil,8,0.68218014,2.2
white wheat flour,8,0.651731687,4.288690476
kombu,8,0.629536787,2.158333333
okra,8,0.627196608,5.592857143
sorghum flake,8,0.611992398,1.477631579
tango,8,0.610318241,1.326129426
beef bone,8,0.609796582,2.75
red tart cherry,8,0.599867371,3.55
maca powder,8,0.591992316,1.119047619
hibiscus,8,0.586619433,1.988888889
ashwag,8,0.575668424,0.774946296
asadero cheese,8,0.574295375,2.75
cannellini bean,8,0.568262566,7
hemp protein,8,0.559627993,3.016666667
rhubarb,8,0.531521112,2.875
black chia seed,8,0.517324205,2.054166667
frisee,8,0.51109358,1.106782107
freeze strawberry,8,0.49470406,3.9
mulberry,8,0.490372717,2.767532468
red palm oil,8,0.490124031,3.583333333
crab meat,8,0.464163948,6.666666667
lactic acid from plant source,8,0.44226917,2.366666667
dark red kidney bean,8,0.426603174,3.725274725
baby bella mushroom,8,0.404752546,8
green chard,8,0.368969205,2.177813853
yellowfin tuna,8,0.331732648,6.305555556
spring water,8,0.329229926,7
grapefruit,8,0.297024591,5.694444444
white mushroom,8,0.274092422,5.503968254
white onion,8,0.266962779,3.766666667
snow pea,8,0.266138974,2.811544012
alpha-amylase,7,0.981425516,0.807142857
reese peanut butter cup piece,7,0.96930945,0.849206349
y bit,7,0.968583053,1.65
aluminum sulfate,7,0.957412142,0.460504202
sodium acidpyrophosphate,7,0.955120831,0.533882784
chocolate cookie bit,7,0.950015873,1
black barley flour,7,0.950015873,0.636363636
white confectionery coating,7,0.949521705,3.583333333
grain wheat flour germ,7,0.939948889,4.166666667
fd no 40 lake,7,0.939598912,0.379284329
glycerol,7,0.935615516,0.581530866
dextrose-salt,7,0.934195106,1
glycerol monostearate,7,0.92770406,2.166666667
cookie piece,7,0.926665968,1.325
tallow,7,0.925841879,1.21978022
disodium diphosphate,7,0.925770657,0.511937083
taro,7,0.924189191,3.0625
grain barley flake,7,0.922433628,1.255555556
milk-milkfat,7,0.92164881,1.4
one the vitamin bs,7,0.919734897,0.326405655
licorice extract,7,0.912825853,1.152380952
pure bourbon vanilla extract,7,0.910322952,0.705072705
beet sugar,7,0.902166201,1.491666667
amaranth puff,7,0.896258112,0.784722222
chicken pizza topping,7,0.891548687,1.30952381
sodium triphosphate,7,0.888630208,0.761904762
mannitol,7,0.8884957,0.826785714
ham with juice,7,0.886761374,0.997222222
coconut tree sap,7,0.882487074,4.80952381
br,7,0.882238804,0.756150794
key lime juice concentrate,7,0.878884911,0.957575758
fudge swirl,7,0.876306484,1.70952381
aspergillus oryzae,7,0.871452123,0.827020202
honey solid,7,0.869084884,0.456654051
lactic acid blend,7,0.868991424,0.25063024
palm fraction,7,0.867689403,0.940079365
vanilla bean paste,7,0.867524909,0.673726318
ice cream milk,7,0.861755291,7
pineapple concentrate,7,0.861706776,1.465909091
raisin juice,7,0.860574074,1.072916667
grain popcorn,7,0.859712831,7
yellow pea flour,7,0.859227118,1.568641503
stone ground wheat flour,7,0.855783179,6
spirit vinegar,7,0.854141534,0.7
almond flavor,7,0.852293591,0.92979798
dough improver blend,7,0.851077513,1.100178891
mascarpone cheese,7,0.851029719,2.066666667
soy product,7,0.850858956,0.741244866
spirulina extract for color,7,0.849763607,0.683080808
orange flavor,7,0.849051444,0.652164502
bromelain,7,0.846779568,0.435654208
miso powder,7,0.845290506,3.046918768
beetroot,7,0.843736997,1.139855977
apple flavor,7,0.840580794,0.707539683
winter,7,0.838991071,2.202380952
mono-hydrochloride,7,0.83850434,0.711111111
sugarcane molasse,7,0.837558463,0.813888889
filling chicken,7,0.837178419,4.333333333
extract annatto,7,0.833935383,0.434582659
chicken pork,7,0.821717956,1.018947368
water salt,7,0.815534556,1.545833333
clam broth,7,0.815357397,0.599019037
magnesium hydroxide,7,0.814547017,0.585664336
oat product,7,0.814059547,0.801837928
pizza crust,7,0.806727513,7
mirepoix,7,0.80610913,3.038461538
chipotle puree,7,0.804545681,0.780769231
brownie,7,0.804196998,1.994444444
bacon bit,7,0.802730777,1.703968254
rice crumb,7,0.801087573,2.111111111
puffed amaranth,7,0.797976674,1.054761905
california raisin,7,0.79627284,4.5
s canola,7,0.793738605,2.333333333
ground,7,0.792936632,2.133333333
binder product,7,0.79291443,1.573333333
pomegranate extract,7,0.79218549,0.64041514
milk cheese culture,7,0.789177645,1.496825397
cherry juice powder,7,0.787561056,0.835714286
hazelnut paste,7,0.782285899,1.853968254
paprika powder,7,0.781095036,0.480167654
spaghetti,7,0.779934722,5
ground sunflower kernel,7,0.779607746,0.732478632
ripe tomato,7,0.778747935,6.5
baker flour,7,0.778498148,7
pickle,7,0.778386382,2.227777778
jalapeno puree,7,0.776282135,1.203409091
process cheese spread,7,0.775082882,1.626190476
sherry vinegar,7,0.773534396,0.82945845
mint extract,7,0.773070622,0.696703297
apricot glaze,7,0.772880135,2.75
bacon fat,7,0.771723598,1.045609946
hatch green chile,7,0.770865681,2.235714286
ginger extract,7,0.770133241,1.110504202
red cayenne pepper,7,0.76615631,0.91907994
malic acid for flavor,7,0.764555415,1.55
glutamic acid,7,0.763467773,0.361464987
blue agave inulin,7,0.760183951,1.285714286
halkidiki olive,7,0.758272222,7
hoisin sauce,7,0.758006406,1.068686869
cheeze,7,0.755229946,1.80952381
ground celery seed,7,0.75265387,0.643488456
sodium sea salt,7,0.747968442,0.665811966
chicken glace,7,0.747964791,0.792929293
corn starch product caramel color,7,0.74727856,2.366666667
oyster extract,7,0.746270975,0.415925926
cooked rib beef steak strip,7,0.746011111,3.75
almond protein,7,0.742561067,1.575
rice vinegar dressing,7,0.74250994,1.7
fire potato,7,0.74193026,1.958333333
apple cider,7,0.740623887,1.170634921
chili oil,7,0.734305799,0.952777778
wheat farina,7,0.733896121,3.676190476
apple cider vinegar powder,7,0.732428763,1.613636364
an infusion,7,0.730471296,7
cane vinegar,7,0.728263692,1.50952381
in water,7,0.726187434,3.5
stevia sweetener,7,0.723460899,0.561372838
sausage crumble,7,0.716741051,1.046746235
kelp powder,7,0.714809967,0.647222222
butternut squash puree,7,0.713865665,2.874242424
mycoprotein,7,0.703190438,7
coconut water from concentrate,7,0.703081481,6.5
mustard bran,7,0.700947763,0.821103896
ripe olive,7,0.698762833,2.469480519
dill seed,7,0.696179879,0.911637382
orgain veggie blend powder tm,7,0.692106463,0.348412698
gotham green basil,7,0.690241504,3.033333333
seaweed extract,7,0.687693964,0.854945799
broccoli stalk,7,0.687610137,2.533333333
shoyu,7,0.684300739,1.695670996
fd&c color,7,0.679249928,0.388677989
monterey jack cheese with pepper,7,0.669835687,5.190909091
blueberry juice,7,0.664073998,2.033333333
swiss,7,0.663275463,3.333333333
chocolate c,7,0.659325397,7
guarana extract,7,0.647914155,1.273448773
spring mix,7,0.645862061,3.9
gel,7,0.645289636,0.411544012
carob,7,0.638855234,7
squid,7,0.636599194,5.45
tapioca starch flour,7,0.631966802,1.13452381
grain millet flour,7,0.628288557,1.766407204
truffle,7,0.607085925,1.776190476
scallop,7,0.605666005,7
potassium benzoate,7,0.592523093,0.947835498
queso quesadilla cheese,7,0.584017441,2.291666667
odor garlic,7,0.577331123,0.4375
konjac flour,7,0.575740453,1.608823529
ha,7,0.569663128,0.641208791
selina br,7,0.559557426,1.067857143
bone skin chicken breast with rib meat water,7,0.555977683,7
capric acid triglyceride from coconut oil,7,0.555255556,1.071428571
bifidobacterium lactis,7,0.554268717,0.455194805
peppermint leaf,7,0.553861139,0.975992063
matcha,7,0.550444609,1.408333333
lactobacillus rhamnosus,7,0.548578956,0.762709513
white corn grit,7,0.542603047,6.2
capric triglyceride,7,0.539992063,1.166666667
black quinoa,7,0.53713125,1.86025641
freeze raspberry,7,0.527868436,2.110714286
denote,7,0.500879403,0.586385836
chicken liver,7,0.497154637,5.833333333
walnut oil,7,0.480722261,0.596836497
nut oil blend,7,0.47109871,1.866666667
lactobacillus plantarum,7,0.447171212,0.387421373
goji powder,7,0.422754773,1.267857143
haddock,7,0.411859725,5.342857143
skin chicken thigh,7,0.404530466,2.583333333
red chard,7,0.343931333,1.683928571
sweet bell pepper,7,0.321406146,1.605994006
red grapefruit,7,0.314235714,7
vidalia onion,7,0.263800647,4.866666667
seed watermelon,7,0.142030424,7
orange bell pepper,7,0.069571429,7
filling mix,6,0.983872222,5
crust mix,6,0.983284722,2.666666667
